Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
1987,26,426,28.4,4.72,4.29,4210,0.87,0.13,0.03,0.05,0.23,8.93,9.00,4.72,4.26,1.06,3.42,0.31,5.96,0.20,0.08,0.32,38.46,101,1.391,.289,9.1,1.1,3.4,6.0,1.74,0.78
1986,26,416,28.3,4.41,3.97,4206,0.86,0.14,0.03,0.06,0.24,8.96,8.77,4.41,3.95,0.91,3.38,0.31,5.87,0.19,0.07,0.31,38.24,100,1.357,.286,8.8,0.9,3.4,5.9,1.74,0.82
1985,26,413,28.3,4.33,3.89,4206,0.85,0.15,0.04,0.06,0.23,8.95,8.74,4.33,3.87,0.86,3.29,0.32,5.34,0.17,0.05,0.27,38.12,100,1.344,.281,8.8,0.9,3.3,5.4,1.62,0.81
1984,26,393,28.3,4.26,3.81,4210,0.85,0.15,0.04,0.06,0.24,8.96,8.88,4.26,3.79,0.77,3.16,0.30,5.34,0.16,0.07,0.27,38.14,101,1.345,.286,8.9,0.8,3.2,5.4,1.69,0.84
1983,26,390,28.5,4.31,3.87,4218,0.82,0.18,0.04,0.06,0.23,8.95,8.88,4.31,3.85,0.78,3.20,0.33,5.15,0.17,0.06,0.26,38.08,100,1.350,.285,8.9,0.8,3.2,5.2,1.61,0.83
1982,26,376,28.5,4.30,3.86,4214,0.83,0.17,0.04,0.06,0.22,8.99,8.93,4.30,3.86,0.80,3.16,0.31,5.04,0.16,0.06,0.26,38.23,100,1.345,.284,8.9,0.8,3.2,5.0,1.60,0.82
1981,26,360,28.3,4.00,3.58,2788,0.82,0.18,0.05,0.08,0.22,9.00,8.66,4.00,3.58,0.64,3.18,0.32,4.75,0.17,0.06,0.26,37.98,101,1.316,.279,8.7,0.6,3.2,4.7,1.49,0.83
1980,26,379,28.0,4.29,3.84,4210,0.80,0.20,0.04,0.06,0.21,8.99,9.06,4.29,3.84,0.73,3.13,0.34,4.80,0.16,0.06,0.24,38.29,101,1.356,.287,9.1,0.7,3.1,4.8,1.53,0.86
1979,26,390,27.8,4.46,4.00,4198,0.78,0.22,0.04,0.06,0.20,8.93,9.03,4.46,3.97,0.82,3.24,0.33,4.77,0.18,0.04,0.27,38.20,101,1.374,.286,9.1,0.8,3.3,4.8,1.47,0.86
1978,26,369,27.6,4.10,3.69,4204,0.75,0.25,0.06,0.07,0.19,8.92,8.68,4.10,3.65,0.70,3.23,0.32,4.77,0.18,0.06,0.25,37.87,100,1.335,.280,8.8,0.7,3.3,4.8,1.48,0.86
1977,26,371,27.4,4.47,4.00,4206,0.78,0.22,0.04,0.06,0.20,8.97,9.04,4.47,3.99,0.87,3.27,0.31,5.16,0.19,0.06,0.28,38.41,100,1.372,.287,9.1,0.9,3.3,5.2,1.58,0.88
1976,24,325,27.5,3.99,3.51,3878,0.73,0.27,0.07,0.08,0.18,9.01,8.66,3.99,3.52,0.58,3.20,0.30,4.83,0.18,0.05,0.27,38.06,100,1.317,.281,8.7,0.6,3.2,4.8,1.51,0.89
1975,24,339,27.6,4.21,3.71,3868,0.73,0.27,0.06,0.07,0.17,8.98,8.75,4.21,3.70,0.70,3.46,0.35,4.98,0.20,0.05,0.30,38.42,100,1.361,.282,8.8,0.7,3.5,5.0,1.44,0.96
1974,24,344,27.6,4.12,3.63,3890,0.72,0.28,0.06,0.07,0.13,8.98,8.73,4.12,3.62,0.68,3.33,0.35,5.01,0.20,0.05,0.28,38.27,100,1.343,.282,8.7,0.7,3.3,5.0,1.50,0.92
1973,24,330,27.5,4.21,3.75,3886,0.73,0.27,0.06,0.08,0.21,8.98,8.75,4.21,3.74,0.80,3.37,0.35,5.24,0.19,0.02,0.31,38.29,101,1.351,.281,8.8,0.8,3.4,5.3,1.55,0.89
1972,24,339,27.2,3.69,3.26,3718,0.73,0.27,0.08,0.10,0.20,9.00,8.19,3.69,3.26,0.68,3.15,0.37,5.57,0.20,0.02,0.29,37.64,100,1.260,.272,8.2,0.7,3.2,5.6,1.77,0.85
1971,24,343,27.1,3.89,3.47,3876,0.72,0.28,0.07,0.08,0.18,8.97,8.40,3.89,3.46,0.74,3.23,0.36,5.41,0.21,0.03,0.29,37.85,100,1.297,.276,8.4,0.7,3.2,5.4,1.67,0.81
1970,24,363,27.1,4.34,3.89,3888,0.78,0.22,0.05,0.06,0.23,8.97,8.63,4.34,3.87,0.88,3.53,0.38,5.75,0.21,0.03,0.32,38.41,100,1.356,.281,8.7,0.9,3.5,5.8,1.63,0.86
1969,24,360,27.1,4.07,3.61,3892,0.75,0.25,0.06,0.08,0.19,8.96,8.37,4.07,3.60,0.80,3.45,0.37,5.77,0.23,0.03,0.33,38.08,100,1.319,.276,8.4,0.8,3.5,5.8,1.67,0.88
1968,20,287,27.2,3.42,2.98,3250,0.72,0.28,0.09,0.10,0.18,8.99,7.91,3.42,2.98,0.61,2.82,0.38,5.89,0.24,0.03,0.31,37.18,101,1.193,.269,7.9,0.6,2.8,5.9,2.09,0.85
1967,20,315,27.2,3.77,3.30,3240,0.76,0.24,0.07,0.08,0.20,9.01,8.17,3.77,3.31,0.71,2.98,0.40,5.99,0.23,0.03,0.30,37.61,101,1.238,.274,8.2,0.7,3.0,6.0,2.01,0.84
1966,20,310,27.4,3.99,3.52,3230,0.77,0.23,0.06,0.08,0.21,8.99,8.42,3.99,3.52,0.85,2.89,0.34,5.82,0.21,0.03,0.32,37.67,101,1.258,.276,8.4,0.8,2.9,5.8,2.02,0.89
1965,20,299,27.7,3.99,3.50,3246,0.77,0.23,0.06,0.07,0.21,8.99,8.30,3.99,3.50,0.83,3.09,0.35,5.94,0.22,0.02,0.32,37.82,101,1.267,.274,8.3,0.8,3.1,5.9,1.92,0.88
1964,20,311,27.7,4.04,3.58,3252,0.75,0.25,0.07,0.08,0.21,8.96,8.51,4.04,3.56,0.85,2.96,0.31,5.91,0.21,0.02,0.30,37.82,101,1.280,.279,8.5,0.9,3.0,5.9,2.00,0.88
1963,20,299,28.0,3.95,3.46,3238,0.73,0.27,0.07,0.08,0.18,8.99,8.35,3.95,3.45,0.84,2.96,0.29,5.80,0.22,0.06,0.28,37.79,101,1.259,.273,8.4,0.8,3.0,5.8,1.96,0.90
1962,20,304,27.7,4.46,3.96,3242,0.74,0.26,0.05,0.06,0.19,8.95,8.80,4.46,3.93,0.93,3.37,0.25,5.42,0.22,0.03,0.29,38.42,100,1.360,.281,8.8,0.9,3.4,5.5,1.61,0.90
1961,18,254,27.6,4.53,4.03,2860,0.74,0.26,0.05,0.06,0.18,8.90,8.76,4.53,3.98,0.95,3.46,0.26,5.23,0.20,0.02,0.27,38.31,101,1.374,.279,8.9,1.0,3.5,5.3,1.51,0.93
1960,16,238,27.6,4.31,3.82,2472,0.73,0.27,0.06,0.06,0.17,8.98,8.67,4.31,3.81,0.86,3.39,0.30,5.18,0.20,0.02,0.24,38.34,101,1.343,.277,8.7,0.9,3.4,5.2,1.53,0.88
1959,16,243,27.9,4.38,3.90,2476,0.70,0.30,0.06,0.07,0.16,8.93,8.74,4.38,3.87,0.91,3.31,0.29,5.09,0.20,0.02,0.22,38.26,101,1.349,.275,8.8,0.9,3.3,5.1,1.54,0.90
1958,16,250,28.0,4.28,3.86,2470,0.70,0.30,0.05,0.06,0.17,8.93,8.75,4.28,3.83,0.91,3.29,0.28,4.95,0.20,0.03,0.21,38.12,101,1.349,.277,8.8,0.9,3.3,5.0,1.50,0.84
1957,16,249,28.0,4.31,3.83,2470,0.71,0.29,0.06,0.06,0.16,9.05,8.85,4.31,3.85,0.89,3.31,0.30,4.84,0.21,0.02,0.19,38.62,100,1.344,.275,8.8,0.9,3.3,4.8,1.46,0.86
1956,16,241,28.5,4.45,3.96,2478,0.69,0.31,0.05,0.06,0.15,8.92,8.74,4.45,3.93,0.93,3.63,0.32,4.64,0.19,0.02,0.20,38.43,100,1.387,.274,8.8,0.9,3.7,4.7,1.28,0.91
1955,16,258,28.2,4.49,4.00,2468,0.70,0.30,0.06,0.07,0.15,8.92,8.76,4.49,3.96,0.90,3.67,0.30,4.39,0.21,0.01,0.19,38.50,101,1.393,.272,8.8,0.9,3.7,4.4,1.20,0.90
1954,16,225,28.5,4.38,3.90,2474,0.66,0.34,0.07,0.07,0.14,8.94,8.86,4.38,3.87,0.78,3.65,,4.13,0.18,0.02,0.16,38.62,101,1.398,.275,8.9,0.8,3.7,4.2,1.13,0.92
1953,16,218,29.2,4.61,4.14,2480,0.65,0.35,0.06,0.07,0.14,8.88,9.06,4.61,4.09,0.84,3.50,,4.12,0.20,0.02,0.19,38.48,100,1.414,.280,9.2,0.8,3.5,4.2,1.18,0.91
1952,16,236,29.2,4.18,3.70,2478,0.62,0.38,0.07,0.08,0.12,8.96,8.58,4.18,3.69,0.69,3.55,,4.19,0.19,0.02,0.16,38.26,100,1.353,.271,8.6,0.7,3.6,4.2,1.18,0.92
1951,16,220,28.9,4.55,4.04,2478,0.62,0.38,0.07,0.07,0.11,8.96,8.96,4.55,4.02,0.75,3.74,,3.77,0.18,0.03,0.18,38.74,101,1.416,.275,9.0,0.8,3.8,3.8,1.01,0.97
1950,16,231,28.5,4.85,4.36,2476,0.60,0.40,0.06,0.06,0.12,8.87,9.11,4.85,4.30,0.84,4.02,,3.86,0.18,0.05,0.17,38.92,100,1.480,.280,9.2,0.8,4.1,3.9,0.96,0.95
1949,16,214,28.7,4.61,4.12,2480,0.61,0.39,0.07,0.07,0.10,8.89,8.93,4.61,4.07,0.69,4.04,,3.61,0.15,0.02,0.18,38.65,100,1.459,.277,9.0,0.7,4.1,3.7,0.89,0.92
1948,16,235,28.6,4.57,4.12,2474,0.64,0.36,0.06,0.06,0.13,8.86,8.98,4.57,4.06,0.63,3.89,,3.65,0.14,0.02,0.18,38.60,101,1.452,.280,9.1,0.6,3.9,3.7,0.94,0.95
1947,16,231,29.3,4.35,3.89,2486,0.61,0.39,0.07,0.07,0.12,8.87,8.85,4.35,3.83,0.63,3.70,,3.67,0.12,0.02,0.16,38.19,101,1.415,.276,9.0,0.6,3.8,3.7,0.99,0.90
1946,16,275,29.7,4.01,3.46,2484,0.58,0.42,0.08,0.08,0.09,8.92,8.67,4.01,3.43,0.49,3.54,,3.89,0.13,0.01,0.14,38.24,101,1.369,.277,8.8,0.5,3.6,3.9,1.10,1.03
1945,16,236,30.2,4.18,3.58,2460,0.54,0.46,0.08,0.08,0.09,8.94,8.94,4.18,3.56,0.41,3.37,,3.27,0.14,0.02,0.15,38.51,101,1.377,.278,9.0,0.4,3.4,3.3,0.97,1.10
1944,16,226,29.8,4.17,3.52,2484,0.55,0.45,0.07,0.07,0.09,8.99,8.98,4.17,3.52,0.42,3.19,,3.29,0.14,0.02,0.16,38.51,101,1.354,.278,9.0,0.4,3.2,3.3,1.03,1.12
1943,16,219,29.7,3.91,3.33,2476,0.56,0.44,0.08,0.08,0.10,9.05,8.67,3.91,3.35,0.37,3.37,,3.46,0.13,0.02,0.14,38.41,100,1.331,.272,8.6,0.4,3.4,3.4,1.03,1.06
1942,16,215,29.0,4.08,3.48,2448,0.54,0.46,0.07,0.07,0.08,8.97,8.65,4.08,3.47,0.44,3.43,,3.40,0.14,0.02,0.16,38.37,101,1.346,.270,8.7,0.4,3.4,3.4,0.99,1.11
